latitude,longitude,depth,SampleID,Location_Code,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium,Cochlodinium,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
degrees_north,degrees_east,m,,,UTC,celsius,celsius,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
36.958,-122.017,NaN,WW100511SC,HAB_SCW,2011-10-05T13:00:00Z,15.1,NaN,NaN,25,5.27,5.16,5.21,NaN,NaN,NaN,0.7,9.8,NaN,NaN,1.76,2.0,250,0.92,NaN,NaN,NaN,NaN,880.0,980.0,NaN,NaN,NaN,47200.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW101211SC,HAB_SCW,2011-10-12T12:55:00Z,15.4,NaN,NaN,25,3.52,3.38,3.45,NaN,NaN,NaN,1.07,18.54,NaN,NaN,3.85,2.51,250,0.06,NaN,NaN,NaN,NaN,0.0,160.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW101911SC,HAB_SCW,2011-10-19T13:09:00Z,17.2,NaN,NaN,25,12.94,13.15,13.05,NaN,NaN,NaN,0.85,16.35,NaN,NaN,1.74,5.81,250,0.26,NaN,NaN,NaN,NaN,20.0,18900.0,NaN,NaN,NaN,13450.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW102611SC,HAB_SCW,2011-10-26T14:10:00Z,13.5,NaN,NaN,25,5.97,5.82,5.9,NaN,NaN,NaN,1.37,17.21,NaN,NaN,4.55,5.86,250,0.05,NaN,NaN,NaN,NaN,760.0,0.0,NaN,NaN,NaN,900.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW110211SC,HAB_SCW,2011-11-02T13:35:00Z,12.3,NaN,NaN,25,4.49,4.38,4.43,NaN,NaN,NaN,1.49,21.63,NaN,NaN,3.77,5.42,250,0.05,NaN,NaN,NaN,NaN,50.0,0.0,NaN,NaN,NaN,2600.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW110911SC,HAB_SCW,2011-11-09T16:50:00Z,12.1,NaN,NaN,25,14.14,13.72,13.93,NaN,NaN,NaN,1.11,19.68,NaN,NaN,1.56,6.13,250,3.81,NaN,NaN,NaN,NaN,1490.0,130.0,NaN,NaN,NaN,153850.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW111611SC,HAB_SCW,2011-11-16T16:06:00Z,11.3,NaN,NaN,25,47.82,49.29,48.55,NaN,NaN,NaN,1.45,19.45,NaN,NaN,0.24,0.49,100,0.0,NaN,NaN,NaN,NaN,7067.0,83.0,NaN,NaN,NaN,250.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW112311SC,HAB_SCW,2011-11-23T15:45:00Z,11.3,NaN,NaN,25,48.86,56.84,52.85,NaN,NaN,NaN,0.75,15.61,NaN,NaN,0.11,0.07,100,3.13,NaN,NaN,NaN,NaN,2360.0,100.0,NaN,NaN,NaN,81200.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW113011SC,HAB_SCW,2011-11-30T15:45:00Z,11.5,NaN,NaN,25,51.59,54.95,53.27,NaN,NaN,NaN,0.65,18.22,NaN,NaN,0.13,0.21,100,0.8,NaN,NaN,NaN,NaN,820.0,80.0,NaN,NaN,NaN,25350.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW120711SC,HAB_SCW,2011-12-07T15:35:00Z,10.2,NaN,NaN,25,42.7,42.21,42.45,NaN,NaN,NaN,0.76,18.8,NaN,NaN,0.51,0.94,100,0.09,NaN,NaN,NaN,NaN,1720.0,140.0,NaN,NaN,NaN,5050.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW121411SC,HAB_SCW,2011-12-14T16:50:00Z,10.7,NaN,NaN,25,2.24,1.97,2.1,NaN,NaN,NaN,1.13,16.36,NaN,NaN,4.92,2.35,250,0.54,NaN,NaN,NaN,NaN,80.0,10.0,NaN,NaN,NaN,27200.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW122111SC,HAB_SCW,2011-12-21T16:34:00Z,11.1,NaN,NaN,25,1.7,1.44,1.57,NaN,NaN,NaN,0.86,9.87,NaN,NaN,2.57,5.38,250,0.0,NaN,NaN,NaN,NaN,270.0,30.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW010412SC,HAB_SCW,2012-01-04T16:55:00Z,11.2,NaN,NaN,25,1.59,1.61,1.6,NaN,NaN,NaN,1.27,16.09,NaN,NaN,2.46,10.14,250,0.0,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.958,-122.017,NaN,WW011112SC,HAB_SCW,2012-01-11T16:35:00Z,10.4,NaN,NaN,25,2.86,2.85,2.85,NaN,NaN,NaN,1.25,17.93,NaN,NaN,2.11,10.04,250,0.0,NaN,NaN,NaN,NaN,10.0,60.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
