pid,classified,prob
IFCB1_2008_113_223114_00002,mix,0.953333333333333
IFCB1_2008_113_223114_00003,mix,0.826666666666667
IFCB1_2008_113_223114_00004,mix,0.2500000000000001
IFCB1_2008_113_223114_00005,Guinardia,0.5700000000000005
IFCB1_2008_113_223114_00006,detritus,0.5633333333333334
IFCB1_2008_113_223114_00007,mix,0.873333333333333
IFCB1_2008_113_223114_00008,mix,0.97
IFCB1_2008_113_223114_00009,mix_elongated,0.7233333333333336
IFCB1_2008_113_223114_00011,mix,0.8166666666666663
IFCB1_2008_113_223114_00012,mix,0.7799999999999998
IFCB1_2008_113_223114_00013,mix,0.7266666666666666
IFCB1_2008_113_223114_00014,mix,0.9633333333333332
IFCB1_2008_113_223114_00015,detritus,0.32000000000000034
IFCB1_2008_113_223114_00017,mix,0.9966666666666671
IFCB1_2008_113_223114_00018,mix,0.3033333333333331
IFCB1_2008_113_223114_00019,mix,0.9499999999999998
IFCB1_2008_113_223114_00020,mix,0.9933333333333332
IFCB1_2008_113_223114_00021,mix,0.8233333333333336
IFCB1_2008_113_223114_00022,mix,0.8466666666666663
IFCB1_2008_113_223114_00024,dino30,0.5933333333333333
IFCB1_2008_113_223114_00025,mix,0.9900000000000004
IFCB1_2008_113_223114_00026,mix,0.9666666666666668
IFCB1_2008_113_223114_00027,Chaetoceros,0.5066666666666663
IFCB1_2008_113_223114_00028,mix,0.8966666666666666
IFCB1_2008_113_223114_00029,mix,0.9933333333333332
IFCB1_2008_113_223114_00030,mix,0.9233333333333336
IFCB1_2008_113_223114_00031,mix,0.5266666666666666
IFCB1_2008_113_223114_00032,mix,0.9566666666666668
IFCB1_2008_113_223114_00033,mix,0.8033333333333339
IFCB1_2008_113_223114_00034,mix,0.5333333333333333
IFCB1_2008_113_223114_00035,mix,0.7999999999999997
IFCB1_2008_113_223114_00036,ciliate_mix,0.37666666666666665
IFCB1_2008_113_223114_00037,detritus,0.28
IFCB1_2008_113_223114_00038,mix,0.983333333333334
IFCB1_2008_113_223114_00040,mix,0.586666666666667
IFCB1_2008_113_223114_00041,mix,0.9333333333333328
IFCB1_2008_113_223114_00043,mix,0.9400000000000004
IFCB1_2008_113_223114_00044,mix,0.8133333333333331
IFCB1_2008_113_223114_00045,mix,0.9333333333333332
IFCB1_2008_113_223114_00046,detritus,0.61
IFCB1_2008_113_223114_00047,mix,0.7466666666666663
IFCB1_2008_113_223114_00048,mix,0.9866666666666668
IFCB1_2008_113_223114_00049,mix,0.8766666666666665
IFCB1_2008_113_223114_00050,mix,0.9666666666666668
IFCB1_2008_113_223114_00051,mix,0.696666666666667
IFCB1_2008_113_223114_00052,mix,0.986666666666667
IFCB1_2008_113_223114_00054,mix,0.9566666666666668
IFCB1_2008_113_223114_00055,mix,0.4366666666666667
IFCB1_2008_113_223114_00056,mix,1.0
IFCB1_2008_113_223114_00057,mix,0.8799999999999998
IFCB1_2008_113_223114_00058,detritus,0.5300000000000006
IFCB1_2008_113_223114_00059,mix,0.9433333333333336
IFCB1_2008_113_223114_00061,mix,0.9266666666666672
IFCB1_2008_113_223114_00062,mix,0.6933333333333336
IFCB1_2008_113_223114_00063,mix,0.99
IFCB1_2008_113_223114_00064,mix,0.4733333333333331
IFCB1_2008_113_223114_00065,mix,0.9400000000000004
IFCB1_2008_113_223114_00066,Pyramimonas,0.24666666666666665
IFCB1_2008_113_223114_00067,mix,0.9200000000000004
IFCB1_2008_113_223114_00068,mix,0.9066666666666664
IFCB1_2008_113_223114_00071,Dinobryon,0.6499999999999998
IFCB1_2008_113_223114_00072,mix,0.7166666666666663
IFCB1_2008_113_223114_00074,mix,0.6600000000000004
IFCB1_2008_113_223114_00076,mix,0.7000000000000003
IFCB1_2008_113_223114_00077,mix,0.6366666666666664
IFCB1_2008_113_223114_00078,mix,0.9733333333333336
IFCB1_2008_113_223114_00079,mix,0.9600000000000004
IFCB1_2008_113_223114_00080,mix_elongated,0.8533333333333329
IFCB1_2008_113_223114_00081,mix,0.6000000000000008
IFCB1_2008_113_223114_00082,mix,0.7833333333333328
IFCB1_2008_113_223114_00083,detritus,0.3866666666666667
IFCB1_2008_113_223114_00084,mix,0.976666666666667
IFCB1_2008_113_223114_00085,mix,0.8000000000000005
IFCB1_2008_113_223114_00087,mix,0.7266666666666668
IFCB1_2008_113_223114_00088,detritus,0.2433333333333333
IFCB1_2008_113_223114_00089,mix,0.8533333333333336
IFCB1_2008_113_223114_00090,mix,0.9566666666666666
IFCB1_2008_113_223114_00093,mix,0.9466666666666664
IFCB1_2008_113_223114_00094,mix,0.9599999999999996
IFCB1_2008_113_223114_00095,Chaetoceros,0.23666666666666655
IFCB1_2008_113_223114_00096,mix_elongated,0.2600000000000001
IFCB1_2008_113_223114_00098,mix,0.7333333333333335
IFCB1_2008_113_223114_00100,Thalassiosira,0.28
IFCB1_2008_113_223114_00102,mix,0.9866666666666668
IFCB1_2008_113_223114_00103,mix,0.7566666666666667
IFCB1_2008_113_223114_00104,mix,0.8200000000000001
IFCB1_2008_113_223114_00105,mix,0.8433333333333337
IFCB1_2008_113_223114_00106,detritus,0.4066666666666667
IFCB1_2008_113_223114_00107,mix,0.8599999999999998
IFCB1_2008_113_223114_00108,mix,0.6500000000000005
IFCB1_2008_113_223114_00111,mix,0.7933333333333337
IFCB1_2008_113_223114_00114,dino30,0.2566666666666666
IFCB1_2008_113_223114_00115,mix,0.9833333333333338
IFCB1_2008_113_223114_00116,mix,0.9666666666666666
IFCB1_2008_113_223114_00120,mix,0.4499999999999998
IFCB1_2008_113_223114_00122,mix,0.7300000000000001
IFCB1_2008_113_223114_00123,detritus,0.4533333333333334
IFCB1_2008_113_223114_00125,mix,0.3233333333333336
IFCB1_2008_113_223114_00127,mix,0.8266666666666671
IFCB1_2008_113_223114_00128,mix,0.996666666666667
IFCB1_2008_113_223114_00131,mix,0.8566666666666669
IFCB1_2008_113_223114_00132,mix,0.39333333333333337
IFCB1_2008_113_223114_00133,detritus,0.4233333333333335
IFCB1_2008_113_223114_00134,mix,0.7266666666666665
IFCB1_2008_113_223114_00136,detritus,0.5233333333333335
IFCB1_2008_113_223114_00137,mix,0.9733333333333338
IFCB1_2008_113_223114_00138,mix,0.7400000000000001
IFCB1_2008_113_223114_00143,detritus,0.4899999999999998
IFCB1_2008_113_223114_00146,mix,0.9066666666666664
IFCB1_2008_113_223114_00147,detritus,0.4733333333333336
IFCB1_2008_113_223114_00148,mix,0.6066666666666664
IFCB1_2008_113_223114_00152,mix,0.9633333333333332
IFCB1_2008_113_223114_00153,mix,0.8766666666666664
IFCB1_2008_113_223114_00154,Dinobryon,0.4733333333333333
IFCB1_2008_113_223114_00157,mix,0.7133333333333334
IFCB1_2008_113_223114_00159,mix,0.9366666666666664
IFCB1_2008_113_223114_00162,mix,0.9866666666666668
IFCB1_2008_113_223114_00164,mix,0.7700000000000002
IFCB1_2008_113_223114_00165,mix,0.9800000000000002
IFCB1_2008_113_223114_00166,mix,0.9933333333333332
IFCB1_2008_113_223114_00167,mix,0.9733333333333342
IFCB1_2008_113_223114_00168,mix,0.8933333333333331
IFCB1_2008_113_223114_00171,detritus,0.3966666666666667
IFCB1_2008_113_223114_00175,detritus,0.6533333333333332
IFCB1_2008_113_223114_00178,mix,0.4233333333333334
IFCB1_2008_113_223114_00179,mix,0.5033333333333335
IFCB1_2008_113_223114_00182,mix,0.9666666666666665
IFCB1_2008_113_223114_00183,mix,0.9666666666666666
IFCB1_2008_113_223114_00184,mix,0.3833333333333335
IFCB1_2008_113_223114_00185,dino30,0.6033333333333329
IFCB1_2008_113_223114_00186,mix,0.9299999999999996
IFCB1_2008_113_223114_00187,mix,1.0
IFCB1_2008_113_223114_00188,mix,0.7900000000000004
IFCB1_2008_113_223114_00189,mix,0.8599999999999997
IFCB1_2008_113_223114_00190,mix,0.92
IFCB1_2008_113_223114_00192,mix,0.9700000000000004
IFCB1_2008_113_223114_00194,mix,0.9866666666666666
IFCB1_2008_113_223114_00195,Cylindrotheca,0.5199999999999999
IFCB1_2008_113_223114_00196,mix,0.4433333333333332
IFCB1_2008_113_223114_00197,mix,0.8666666666666657
IFCB1_2008_113_223114_00198,Chaetoceros,0.4866666666666667
IFCB1_2008_113_223114_00200,mix,0.4033333333333333
IFCB1_2008_113_223114_00201,mix,0.9266666666666664
